title,name,star,date,comment
効果は分からん,Maverick,4.0,2022年12月20日,続けて飲んでいます今までスーパーで月一くらいで特売をやっていたのですが（12本で税込み680円）ここ最近物価が上がったからか全くやらなくなり仕方なく少しお高いですがここで購入しました健康診断というものを全く受けないので効果のほどは未知数ですが飲まないよりマシかなといった感じです賞味期限は来年の7月までという十分なもので安心しました
野菜不足の時の為に購入,塩満　勝,4.0,2022年12月13日,野菜不足の日の為に購入しました。簡単に一日分の野菜が取れるので非常に重宝しています。
味も量もちょうどいい,ひだまり,5.0,2022年12月16日,昼食で飲んでいますが、多過ぎず飲み切れる量がいいです。味はフルーツのような甘さが無く、食事とも合っていて毎日続けて飲めています。
安心感,り,5.0,2022年12月18日,主人が毎朝飲みます。私もたまに飲みますが、中学生の子どもは味に馴染めない様子。親は美味しくいただいています。青臭さはなく、トマトジュースに近いと思います。コンビニで鉄分プラスのものも買って時々飲みますが、体にいいことをしている感があり満足しています。
自分の事を考えて,吉田昭尚,5.0,2022年12月16日,僕は障害者です。1年の内､外出するのは2ヵ月程です。一人で生活しています。外出する事が出来ないのでネットで、この野菜ジュースを見つけて購入しました。意外にも飲みやすかったので､それからは1ヵ月に1回はAmazonさんで購入しています。僕は健常者の方達と違って障害が､有るために旅行・外食・買い物・娯楽施設などの普通に皆さんが､している事が出来ないので1年の内の10ヵ月は家の中にいます。僕は62歳に､なります。僕が子供の頃はネットが無く買い物はほとんど母親が､してくれて､いました。だけど今はネットと言う便利な物が出来て大変､助かっています。だから僕はほとんどの買い物はネットで買い物を､しています。Amazonさん､いつも沢山の商品を揃えて､くれて有り難う御座います。本当に助かっています。何か自分の事ばっかり書いてしまって申し訳有りません｡これからもAmazonさんで買い物していきますのでAmazonさん宜しく御願い致します。余り評価､出来てなくて申し訳有りません｡以上に､なります。どうも､有り難う御座いました。では、失礼致します。
安くて美味しい,ABE たろ～,5.0,2022年12月15日,カゴ〇の商品を買ってましたが、安いので変更、味も飲みやすさも変わらない。お得です
安い！美味しい！,霊幻 新隆,5.0,2022年12月11日,"いつもコンビニでこに野菜ジュースを買っていたのですが、まとめて欲しいなと思い買わせていただきました。コンビニと比べるとかなり安いです！味も美味しいですし、野菜が嫌いな人でも飲みやすく毎日飲めちゃいます！これからも毎日お世話になります(*' ')*, ,)ﾍﾟｺﾘ"
酸味が少なめで飲みやすい印象です,にゅーるらら,5.0,2022年12月13日,野菜が少なかったなぁ、という感じがした日に飲んでいます。味はトロッとしたタイプですが、比較的に酸味が少なめで飲みやすい方かなと思います。苦味や青臭さは全くありません。効果は…お通じがよくなったような…？まあ、お守りに近いかも。
美味しい,そら,4.0,2022年12月4日,トマトジュースが苦手な私でも美味しく飲めます
定期おトク便の価格について,杉山拓三,4.0,2022年11月29日,重量のあるものを定期的に購入できて助かっています。今回価格が上がっていたのですが，購入後まで気が付きませんでした。見落としていたのかもしれませんが，定期おトク便の価格が上がる場合には事前に分かりやすく連絡いただけると助かります。よろしくお願いいたします。
